,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
983,7.0,36.2,58.8,36.2,0.7774865,0.72648,,1208.0
987,0.3,11.7,15.9,6.3,0.617672,0.85216,0.5533333333333333,1608.0
993,8.6,14.9,23.8,11.8,0.5780875,0.60939,0.6033333333333334,1591.0
1000,2.9,12.5,20.1,10.3,0.6447915,0.75823,0.4533333333333333,1587.0
1004,24.6,10.8,38.1,30.2,0.5975045,0.77384,0.5566666666666666,1414.0
1010,1.0,17.6,31.8,21.0,0.6508855,0.6708,0.48666666666666664,1491.0
1015,22.0,13.2,37.6,26.4,0.63944,0.71246,0.5399999999999999,1511.0
1020,4.4,17.3,35.4,22.7,0.7045745,0.75778,0.5066666666666666,1431.0
1023,0.5,11.0,18.7,9.7,0.643043,0.76193,0.48333333333333334,1515.0
1029,8.3,11.9,21.5,11.2,0.6615805,0.80117,0.5633333333333332,1609.0
1031,5.0,48.3,62.4,26.1,1.4113440000000002,0.81199,0.4,1398.0
1035,0.2,21.8,46.7,34.6,0.8988524999999999,0.74302,0.41000000000000003,1601.0
1039,7.0,14.9,30.9,20.5,0.829357,0.71252,0.41000000000000003,1602.0
1042,1.4,8.7,22.6,17.1,0.6757565,0.60397,0.49,1477.0
1044,3.8,14.6,34.4,23.0,0.93575,0.76994,0.6233333333333333,1383.0
1045,0.7,14.8,27.0,17.6,0.922911,0.79391,0.44333333333333336,1755.0
1046,33.6,13.2,29.3,17.2,,,0.7566666666666666,1625.0
1050,21.7,16.9,37.5,17.3,1.0100115,0.84528,0.4266666666666667,1525.0
1053,0.8,14.0,29.0,20.2,0.6261315,0.6371,0.39666666666666667,1499.0
1061,2.2,13.2,16.9,5.0,0.694476,0.71458,0.48333333333333334,1654.0
1062,1.1,34.2,47.8,19.5,0.855556,0.714,0.52,1364.0
1069,6.9,15.7,23.6,10.3,0.6479235,0.68893,0.5766666666666667,1658.0
1071,3.9,12.5,28.1,17.9,0.8819170000000001,0.80325,0.45666666666666667,1571.0
1077,8.0,15.6,19.7,5.5,0.7530899999999999,0.87555,0.5833333333333334,1730.0
1098,40.5,18.4,76.4,58.9,0.648046,0.7332,0.52,1319.0
1110,3.0,10.4,19.0,10.5,0.685087,0.78278,0.5433333333333333,1656.0
1127,17.5,24.6,32.1,10.4,0.8578015,0.75665,0.53,1750.0
1128,25.9,17.8,28.4,8.8,0.8578015,0.75665,0.4633333333333333,1815.0
1136,0.0,17.4,29.4,14.0,1.119544,0.74644,0.55,1496.0
1139,1.1,23.7,59.5,53.3,0.7749375,0.62613,0.36666666666666664,1417.0
1145,6.7,10.9,19.0,10.8,0.5405295,0.77466,0.62,1570.0
1152,5.3,12.0,22.1,12.4,0.5381885000000001,0.72079,0.5633333333333332,1575.0
1157,2.2,12.2,40.0,34.3,0.7044475,0.71668,0.43333333333333335,1447.0
1161,1.9,13.7,22.6,12.6,0.645898,0.6461,0.5666666666666667,1553.0
1169,1.4,15.5,19.9,5.9,0.6704154999999999,0.73771,0.6733333333333333,1646.0
1175,7.9,15.0,28.7,18.6,0.6781285,0.5898,0.5733333333333334,1717.0
1178,9.3,11.3,17.3,5.5,0.751476,0.86947,0.5466666666666666,1669.0
