,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
1661,11.5,15.8,50.6,40.9,13537.92,71242.0,15.7,1454.0
1672,7.2,15.5,21.2,6.5,16915.79,90041.0,16.2,1813.0
1675,2.5,12.7,26.5,17.0,13960.91,70796.0,14.4,1552.0
1679,0.8,7.9,20.8,14.1,11117.07,66220.0,17.3,1510.0
1688,28.8,18.9,48.8,38.5,12440.45,67340.0,15.3,1474.0
1695,18.3,10.7,20.0,7.6,13568.55,78661.0,14.4,1768.0
1706,5.4,15.1,35.0,26.6,13466.39,67184.0,17.3,1556.0
1707,7.6,28.3,53.7,34.4,13466.39,67184.0,14.0,1309.0
1717,10.1,9.8,13.3,3.6,12435.21,76165.0,19.7,1786.0
1721,13.2,17.0,25.1,5.8,21826.2,93953.0,12.9,1834.0
1732,3.4,18.1,21.2,4.1,15349.89,86074.0,15.8,1683.0
1745,8.0,15.4,35.5,24.7,12778.32,79935.0,16.6,1504.0
1753,1.4,13.1,26.0,17.5,11153.06,77887.0,20.9,1516.0
1755,3.4,25.4,47.6,29.1,18295.68,83260.0,13.8,1371.0
1763,2.4,13.0,19.4,8.1,14116.94,71281.0,14.5,1549.0
1768,3.5,21.5,47.8,37.0,13711.13,76449.0,15.2,1383.0
1778,11.8,18.0,24.1,5.6,12109.26,74033.0,17.0,1790.0
1781,14.2,18.1,39.8,26.6,12112.16,59424.0,18.3,1444.0
1792,17.6,14.3,35.3,22.0,14451.77,73237.0,16.4,1492.0
1796,44.0,25.8,70.2,54.7,13588.16,78256.0,15.3,1355.0
1802,78.0,11.7,83.5,65.0,13588.16,78256.0,17.6,1085.0
1805,47.9,16.5,58.9,43.9,13588.16,78256.0,13.5,1405.0
1822,57.7,25.4,81.4,63.6,13588.16,78256.0,14.8,1193.0
1826,57.3,23.8,75.9,58.6,13588.16,78256.0,16.0,1345.0
1831,68.5,11.0,68.5,57.1,13588.16,78256.0,19.3,1334.0
1838,40.6,12.6,57.0,43.8,13588.16,78256.0,16.2,1291.0
1851,1.0,18.1,55.2,47.8,,,25.2,1552.0
1854,37.5,17.7,78.0,69.5,,,14.9,1233.0
1858,6.2,20.4,49.9,36.1,,,25.7,1477.0
